Month,International_Womens_Day,International_Mens_Day
2004-01,<1,1
2004-02,1,<1
2004-03,2,4
2004-04,0,1
2004-05,0,<1
2004-06,0,1
2004-07,<1,1
2004-08,0,<1
2004-09,<1,1
2004-10,<1,1
2004-11,<1,<1
2004-12,<1,<1
2005-01,<1,1
2005-02,2,1
2005-03,6,8
2005-04,<1,<1
2005-05,<1,<1
2005-06,0,<1
2005-07,<1,1
2005-08,<1,<1
2005-09,<1,1
2005-10,<1,<1
2005-11,<1,1
2005-12,<1,<1
2006-01,<1,<1
2006-02,1,1
2006-03,4,9
2006-04,<1,1
2006-05,<1,<1
2006-06,<1,<1
2006-07,<1,<1
2006-08,<1,<1
2006-09,<1,1
2006-10,<1,1
2006-11,<1,1
2006-12,<1,<1
2007-01,<1,<1
2007-02,1,1
2007-03,3,11
2007-04,<1,2
2007-05,<1,2
2007-06,<1,1
2007-07,<1,1
2007-08,<1,<1
2007-09,<1,1
2007-10,<1,1
2007-11,<1,2
2007-12,<1,<1
2008-01,<1,<1
2008-02,1,1
2008-03,2,11
2008-04,<1,2
2008-05,<1,1
2008-06,<1,1
2008-07,<1,1
2008-08,<1,<1
2008-09,<1,1
2008-10,<1,1
2008-11,<1,1
2008-12,<1,<1
2009-01,<1,1
2009-02,1,1
2009-03,2,17
2009-04,<1,1
2009-05,<1,1
2009-06,<1,2
2009-07,<1,2
2009-08,<1,<1
2009-09,<1,1
2009-10,<1,1
2009-11,<1,2
2009-12,<1,1
2010-01,<1,1
2010-02,1,1
2010-03,2,22
2010-04,<1,1
2010-05,<1,3
2010-06,<1,1
2010-07,<1,4
2010-08,<1,1
2010-09,<1,1
2010-10,<1,1
2010-11,<1,3
2010-12,<1,<1
2011-01,<1,1
2011-02,1,2
2011-03,5,26
2011-04,<1,1
2011-05,<1,2
2011-06,<1,1
2011-07,<1,7
2011-08,<1,1
2011-09,<1,2
2011-10,<1,1
2011-11,<1,3
2011-12,<1,<1
2012-01,<1,1
2012-02,1,2
2012-03,5,29
2012-04,<1,2
2012-05,<1,2
2012-06,<1,1
2012-07,<1,5
2012-08,<1,<1
2012-09,<1,1
2012-10,<1,1
2012-11,<1,7
2012-12,<1,<1
2013-01,<1,1
2013-02,1,1
2013-03,4,32
2013-04,<1,2
2013-05,<1,2
2013-06,<1,2
2013-07,<1,12
2013-08,<1,1
2013-09,<1,2
2013-10,<1,1
2013-11,<1,10
2013-12,<1,1
2014-01,<1,1
2014-02,1,2
2014-03,5,32
2014-04,<1,1
2014-05,<1,2
2014-06,<1,1
2014-07,<1,9
2014-08,<1,1
2014-09,<1,2
2014-10,<1,1
2014-11,<1,11
2014-12,<1,<1
2015-01,<1,1
2015-02,1,2
2015-03,4,42
2015-04,<1,1
2015-05,<1,1
2015-06,<1,1
2015-07,<1,8
2015-08,<1,1
2015-09,<1,1
2015-10,<1,1
2015-11,<1,14
2015-12,<1,1
2016-01,<1,1
2016-02,1,2
2016-03,5,59
2016-04,<1,2
2016-05,<1,1
2016-06,<1,1
2016-07,<1,6
2016-08,<1,1
2016-09,<1,2
2016-10,<1,2
2016-11,<1,10
2016-12,<1,1
2017-01,<1,1
2017-02,1,2
2017-03,8,56
2017-04,<1,2
2017-05,<1,2
2017-06,<1,1
2017-07,<1,3
2017-08,<1,1
2017-09,<1,2
2017-10,<1,2
2017-11,<1,13
2017-12,<1,1
2018-01,1,1
2018-02,2,3
2018-03,29,100
